source,target,type,capacity
SG,NZ,Directed,309
HK,PG,Directed,309
KR,KH,Directed,184
JP,KR,Directed,184
KR,MY,Directed,184
KR,GU,Directed,184
KR,HK,Directed,184
ZA,SC,Directed,184
FR,US,Directed,309
PF,US,Directed,309
GB,CA,Directed,309
FR,CA,Directed,309
CA,JM,Directed,309
GB,CA,Directed,309
CA,US,Directed,184
PT,FR,Directed,184
CH,TR,Directed,184
SE,DE,Directed,11
PH,KR,Directed,184
MY,CN,Directed,184
TH,CN,Directed,184
CN,MY,Directed,184
TH,CN,Directed,184
MO,TH,Directed,184
ID,TH,Directed,184
ID,MY,Directed,184
CN,MY,Directed,184
MY,ID,Directed,184
TH,MO,Directed,184
HK,MY,Directed,184
TH,CN,Directed,184
MY,ID,Directed,184
PH,TH,Directed,184
MY,CN,Directed,184
TW,PH,Directed,184
KR,PH,Directed,184
TH,CN,Directed,184
TH,MY,Directed,184
TH,HK,Directed,184
MY,VN,Directed,184
TH,CN,Directed,184
VN,TH,Directed,184
PH,ID,Directed,184
MY,MM,Directed,184
MY,MV,Directed,184
ID,MY,Directed,184
MY,PH,Directed,184
AU,ID,Directed,184
MY,ID,Directed,184
TH,MY,Directed,184
ID,MY,Directed,184
TH,VN,Directed,184
ID,SG,Directed,184
TH,MO,Directed,184
CN,TH,Directed,184
MY,TH,Directed,184
TH,MY,Directed,184
MY,TH,Directed,184
TH,MY,Directed,184
TH,CN,Directed,184
TH,SG,Directed,184
VN,TH,Directed,184
SG,ID,Directed,184
HK,TH,Directed,184
MY,CN,Directed,184
TH,CN,Directed,184
MY,TH,Directed,184
ID,MY,Directed,184
HK,MY,Directed,184
CN,TH,Directed,184
MY,ID,Directed,184
MY,ID,Directed,184
MY,SG,Directed,184
MO,MY,Directed,184
TH,CN,Directed,184
MY,PH,Directed,184
TH,ID,Directed,184
MY,JP,Directed,309
KR,MY,Directed,309
MY,JP,Directed,309
KR,MY,Directed,309
JP,TH,Directed,309
KR,TH,Directed,309
SA,MY,Directed,309
TH,KR,Directed,309
MY,TW,Directed,309
MY,CN,Directed,309
MY,CN,Directed,309
MY,CN,Directed,309
AU,MY,Directed,309
JP,TH,Directed,309
TH,ID,Directed,184
MY,CN,Directed,309
MY,ID,Directed,184
MY,CN,Directed,309
MY,CN,Directed,309
PK,AE,Directed,184
PK,SA,Directed,184
PK,AE,Directed,184
PK,SA,Directed,184
AE,PK,Directed,184
RU,SG,Directed,309
US,NL,Directed,309
RU,CN,Directed,309
RU,CN,Directed,309
CN,RU,Directed,309
RU,CN,Directed,309
RU,VN,Directed,309
DE,RU,Directed,309
RU,NL,Directed,309
RU,CN,Directed,309
RU,GB,Directed,309
RU,CN,Directed,309
JP,KR,Directed,309
GB,DE,Directed,309
AU,NC,Directed,184
ES,IL,Directed,184
FR,ES,Directed,11
ZW,ZA,Directed,184
NA,ZA,Directed,184
BW,ZA,Directed,184
MG,ZA,Directed,184
BW,ZA,Directed,184
RS,US,Directed,309
RS,GR,Directed,184
RS,CH,Directed,184
IL,RS,Directed,184
IT,RS,Directed,184
RS,GR,Directed,184
RS,ME,Directed,184
AL,IT,Directed,184
JP,IT,Directed,309
JP,IT,Directed,309
IT,RU,Directed,184
IT,BR,Directed,309
IT,US,Directed,309
IT,MX,Directed,309
IT,US,Directed,309
ES,IT,Directed,184
PL,IT,Directed,184
IT,IL,Directed,184
DE,IT,Directed,184
BE,IT,Directed,184
IT,LB,Directed,184
NL,IT,Directed,184
IT,IL,Directed,184
NL,IT,Directed,184
CZ,IT,Directed,184
IT,US,Directed,309
IT,DE,Directed,184
ES,IT,Directed,184
IT,BE,Directed,184
IT,GB,Directed,184
GB,IT,Directed,184
IT,EG,Directed,184
IT,US,Directed,309
IT,FR,Directed,184
FR,IT,Directed,184
MU,IT,Directed,309
JP,US,Directed,309
JP,US,Directed,309
JP,US,Directed,309
JP,US,Directed,309
JP,DE,Directed,309
JP,BE,Directed,309
JP,DE,Directed,309
JP,IN,Directed,309
JP,GB,Directed,309
JP,FR,Directed,309
JP,DE,Directed,309
MY,JP,Directed,309
MX,JP,Directed,309
JP,MX,Directed,309
JP,SG,Directed,309
JP,VN,Directed,309
JP,US,Directed,309
JP,US,Directed,309
JP,US,Directed,309
JP,US,Directed,309
JP,MY,Directed,309
JP,IN,Directed,309
TH,JP,Directed,309
JP,CN,Directed,309
US,JP,Directed,309
JP,TH,Directed,309
VN,JP,Directed,309
JP,PH,Directed,309
JP,ID,Directed,309
JP,HK,Directed,309
JP,US,Directed,309
JP,CN,Directed,309
JP,SG,Directed,309
JP,US,Directed,309
JP,CN,Directed,184
JP,CN,Directed,184
JP,CN,Directed,309
JP,TH,Directed,309
SG,HK,Directed,309
JP,TW,Directed,309
JP,VN,Directed,309
JP,TW,Directed,309
AU,JP,Directed,309
JP,KR,Directed,309
JP,CN,Directed,309
CN,JP,Directed,184
JP,KR,Directed,309
DE,JP,Directed,309
KR,JP,Directed,309
JP,CN,Directed,309
JP,US,Directed,309
JP,US,Directed,309
PK,BH,Directed,184
US,AR,Directed,309
AU,US,Directed,309
AR,US,Directed,309
NZ,US,Directed,309
JP,US,Directed,309
US,GB,Directed,309
US,BR,Directed,309
US,CL,Directed,309
US,HK,Directed,309
PE,US,Directed,184
US,BR,Directed,309
US,BR,Directed,184
US,AU,Directed,309
DE,US,Directed,309
HK,US,Directed,309
GB,US,Directed,309
GB,US,Directed,309
IT,US,Directed,309
ES,US,Directed,309
ES,US,Directed,309
FR,US,Directed,309
JP,US,Directed,309
CN,US,Directed,309
JP,US,Directed,309
GB,US,Directed,309
FR,US,Directed,309
JP,US,Directed,309
DE,US,Directed,309
ES,US,Directed,309
IT,US,Directed,309
ES,US,Directed,309
KR,US,Directed,309
JP,US,Directed,309
CN,US,Directed,309
FR,US,Directed,309
CN,US,Directed,309
GB,US,Directed,309
GB,US,Directed,309
CA,US,Directed,184
CN,US,Directed,309
FR,US,Directed,309
GB,US,Directed,309
GB,US,Directed,309
DE,US,Directed,309
IE,US,Directed,309
CH,US,Directed,309
US,HT,Directed,184
FR,US,Directed,309
CA,US,Directed,184
DO,US,Directed,184
EC,US,Directed,184
MX,US,Directed,184
CA,US,Directed,184
US,CU,Directed,184
GB,US,Directed,309
CA,US,Directed,184
GB,US,Directed,309
CA,US,Directed,184
MX,US,Directed,184
CO,US,Directed,184
BB,US,Directed,184
GB,US,Directed,309
HK,US,Directed,309
CA,US,Directed,184
NL,US,Directed,309
TT,US,Directed,184
US,MX,Directed,184
MX,US,Directed,184
PR,US,Directed,184
MX,US,Directed,184
DO,US,Directed,184
MX,US,Directed,184
CA,US,Directed,184
KY,US,Directed,184
CA,US,Directed,184
BM,US,Directed,184
MX,US,Directed,184
CA,US,Directed,184
GB,US,Directed,309
EC,US,Directed,184
SE,US,Directed,184
US,MX,Directed,184
PR,US,Directed,309
NI,US,Directed,309
DO,US,Directed,309
IS,US,Directed,309
US,AW,Directed,184
KR,US,Directed,309
KR,ES,Directed,309
KR,TR,Directed,309
US,KR,Directed,309
KR,DE,Directed,309
KR,IT,Directed,309
US,BE,Directed,309
US,KR,Directed,309
KR,US,Directed,309
KR,GB,Directed,309
KR,RU,Directed,309
US,KR,Directed,309
KR,SG,Directed,309
KR,ID,Directed,309
KR,IN,Directed,309
KR,VN,Directed,309
KR,TH,Directed,309
US,KR,Directed,309
RU,GB,Directed,309
KR,KH,Directed,184
KR,PH,Directed,309
JP,KR,Directed,184
KR,JP,Directed,184
KR,VN,Directed,309
JP,KR,Directed,184
JP,KR,Directed,184
JP,KR,Directed,309
KR,TH,Directed,309
KR,US,Directed,309
KR,AU,Directed,309
KR,JP,Directed,309
CN,KR,Directed,184
JP,KR,Directed,184
KR,CN,Directed,184
KR,CN,Directed,184
KR,US,Directed,309
KR,CN,Directed,184
KR,VN,Directed,309
KR,US,Directed,309
KR,TH,Directed,309
CN,BE,Directed,309
BE,US,Directed,309
AE,BE,Directed,309
ES,FR,Directed,184
DK,FO,Directed,184
MD,TR,Directed,184
JP,US,Directed,309
HK,US,Directed,309
US,KR,Directed,309
CO,US,Directed,309
HK,US,Directed,309
DE,AF,Directed,309
US,JP,Directed,309
KR,CN,Directed,309
US,CA,Directed,309
US,JP,Directed,309
JP,US,Directed,309
TR,SA,Directed,184
TR,FR,Directed,184
IQ,TR,Directed,184
TR,UA,Directed,184
IQ,TR,Directed,184
GB,GG,Directed,184
GG,GB,Directed,11
CN,AT,Directed,309
CN,AT,Directed,309
SC,AT,Directed,309
AT,ES,Directed,184
AT,IQ,Directed,184
AT,JO,Directed,184
AT,US,Directed,309
AT,US,Directed,309
AT,US,Directed,309
AT,IL,Directed,184
AT,CY,Directed,184
AT,US,Directed,309
UA,AT,Directed,184
MK,AT,Directed,184
AT,GR,Directed,184
DE,AT,Directed,184
BG,AT,Directed,184
AT,BE,Directed,184
RO,AT,Directed,184
AT,DE,Directed,184
AT,DE,Directed,184
AT,CH,Directed,184
LT,AT,Directed,184
CH,PL,Directed,184
DE,AT,Directed,184
BY,AT,Directed,184
DE,AT,Directed,184
AT,FR,Directed,184
AT,IT,Directed,184
BG,AT,Directed,184
AT,RO,Directed,184
AT,FR,Directed,184
AT,FR,Directed,184
DE,AT,Directed,184
AT,SE,Directed,184
AT,IR,Directed,184
AT,ME,Directed,184
AT,PL,Directed,184
AT,RS,Directed,184
AT,CZ,Directed,184
AT,AL,Directed,184
AT,RO,Directed,184
AT,HR,Directed,184
AT,IL,Directed,184
AT,DE,Directed,184
AT,PL,Directed,184
AT,BA,Directed,184
AT,UA,Directed,184
AT,SK,Directed,184
AT,DE,Directed,184
AT,LT,Directed,184
RU,DZ,Directed,309
CO,ES,Directed,309
CO,ES,Directed,309
US,BR,Directed,309
CO,GB,Directed,309
ES,CO,Directed,309
US,SV,Directed,184
US,SV,Directed,184
US,SV,Directed,184
CL,CO,Directed,309
BR,PE,Directed,184
PE,SV,Directed,184
BR,PE,Directed,184
AR,PE,Directed,309
CL,PE,Directed,184
BR,PE,Directed,309
UY,PE,Directed,184
AR,PE,Directed,184
BR,CO,Directed,309
AR,CO,Directed,309
CO,SV,Directed,184
CO,SV,Directed,184
MX,CO,Directed,184
BR,CO,Directed,309
CO,CR,Directed,184
CO,DO,Directed,184
CO,US,Directed,309
BO,PE,Directed,184
US,CO,Directed,309
CR,SV,Directed,184
BR,CL,Directed,184
CO,PE,Directed,184
CO,PA,Directed,184
CO,AW,Directed,184
CO,PE,Directed,184
CO,CL,Directed,184
CO,US,Directed,184
CO,EC,Directed,184
GT,US,Directed,184
ES,CO,Directed,309
CO,EC,Directed,184
GT,CR,Directed,184
HN,SV,Directed,184
CR,GT,Directed,184
NI,SV,Directed,184
HN,SV,Directed,184
US,CO,Directed,184
US,EC,Directed,309
RU,CN,Directed,184
US,VE,Directed,184
RU,AZ,Directed,184
AE,AZ,Directed,184
TR,AZ,Directed,309
RU,AZ,Directed,184
EG,AZ,Directed,184
AZ,RU,Directed,184
PT,BR,Directed,309
BR,US,Directed,309
VN,RU,Directed,309
TH,RU,Directed,309
TH,RU,Directed,309
RU,CN,Directed,309
TH,RU,Directed,184
VN,RU,Directed,184
TH,RU,Directed,184
RU,TR,Directed,184
TH,RU,Directed,184
BS,US,Directed,184
TH,HK,Directed,184
TH,MM,Directed,184
TH,MY,Directed,184
KH,TH,Directed,184
MM,TH,Directed,184
SG,TH,Directed,184
TH,KH,Directed,184
KH,TH,Directed,184
AU,ID,Directed,184
ID,SG,Directed,184
ID,MY,Directed,184
AU,MY,Directed,184
IN,MY,Directed,184
MY,ID,Directed,184
MY,IN,Directed,184
MY,AU,Directed,184
